Customer_ID,Join_Date,Plan_Type,MRR,Support_Tickets_Per_Month,Feature_Usage_Score,Tenure_Months,Churned
CUST-1000,2023-01-14,Startup (Monthly),5000,3,62.3,4,1
CUST-1001,2024-12-21,Startup (Monthly),5000,0,81.0,9,1
CUST-1002,2025-10-23,Enterprise (Annual),25000,2,65.2,2,0
CUST-1003,2024-08-15,Startup (Monthly),5000,2,45.1,16,1
CUST-1004,2024-11-21,Startup (Monthly),5000,3,67.6,5,1
CUST-1005,2023-06-05,Startup (Monthly),5000,0,46.8,29,1
CUST-1006,2023-02-21,Startup (Monthly),5000,2,40.3,6,1
CUST-1007,2025-11-21,Startup (Monthly),5000,1,32.6,1,0
CUST-1008,2025-12-06,Startup (Monthly),5000,1,47.8,1,0
CUST-1009,2024-06-26,Enterprise (Annual),25000,3,67.0,18,0
CUST-1010,2025-11-25,Enterprise (Annual),25000,2,55.2,1,0
CUST-1011,2025-05-04,Startup (Monthly),5000,3,61.4,1,1
CUST-1012,2024-08-19,Startup (Monthly),5000,2,69.4,13,1
CUST-1013,2023-05-03,Enterprise (Annual),25000,1,51.3,8,1
CUST-1014,2023-06-14,Startup (Monthly),5000,1,77.1,3,1
CUST-1015,2024-02-28,Startup (Monthly),5000,3,51.0,13,1
CUST-1016,2025-09-03,Enterprise (Annual),25000,4,49.8,4,0
CUST-1017,2024-12-17,Enterprise (Annual),25000,4,65.4,12,0
CUST-1018,2023-07-06,Enterprise (Annual),25000,4,31.5,30,0
CUST-1019,2023-06-11,Startup (Monthly),5000,3,40.7,14,1
CUST-1020,2025-11-10,Startup (Monthly),5000,1,49.3,1,0
CUST-1021,2024-03-08,Startup (Monthly),5000,3,62.7,14,1
CUST-1022,2025-08-06,Enterprise (Annual),25000,3,42.3,4,0
CUST-1023,2025-10-06,Startup (Monthly),5000,0,78.7,2,0
CUST-1024,2025-10-06,Startup (Monthly),5000,1,100.0,2,0
CUST-1025,2024-07-14,Startup (Monthly),5000,3,3.2,8,1
CUST-1026,2023-07-10,Startup (Monthly),5000,1,50.0,30,0
CUST-1027,2023-09-14,Startup (Monthly),5000,0,59.3,25,1
CUST-1028,2023-07-08,Startup (Monthly),5000,2,69.6,2,1
CUST-1029,2023-08-23,Startup (Monthly),5000,2,71.2,8,1
CUST-1030,2024-11-14,Startup (Monthly),5000,0,57.5,13,0
CUST-1031,2025-05-30,Startup (Monthly),5000,2,67.6,7,0
CUST-1032,2023-04-26,Startup (Monthly),5000,2,68.8,9,1
CUST-1033,2025-10-19,Enterprise (Annual),25000,1,83.2,2,0
CUST-1034,2024-07-01,Startup (Monthly),5000,0,84.9,11,1
CUST-1035,2023-07-28,Startup (Monthly),5000,3,92.2,4,1
CUST-1036,2024-10-26,Startup (Monthly),5000,1,72.2,6,1
CUST-1037,2024-05-06,Startup (Monthly),5000,2,40.9,15,1
CUST-1038,2024-10-11,Enterprise (Annual),25000,4,27.7,5,1
CUST-1039,2024-11-01,Startup (Monthly),5000,1,37.4,14,0
CUST-1040,2024-11-13,Startup (Monthly),5000,2,85.7,13,0
CUST-1041,2023-05-01,Startup (Monthly),5000,3,63.4,1,1
CUST-1042,2025-02-23,Enterprise (Annual),25000,0,86.2,10,0
CUST-1043,2025-12-30,Startup (Monthly),5000,2,56.9,1,0
CUST-1044,2024-10-28,Startup (Monthly),5000,3,63.6,5,1
CUST-1045,2023-10-01,Startup (Monthly),5000,2,48.5,2,1
CUST-1046,2025-08-24,Startup (Monthly),5000,1,55.8,4,1
CUST-1047,2023-04-23,Startup (Monthly),5000,3,100.0,4,1
CUST-1048,2024-12-02,Enterprise (Annual),25000,0,75.4,13,0
CUST-1049,2023-02-18,Enterprise (Annual),25000,0,69.2,9,1
CUST-1050,2024-11-19,Startup (Monthly),5000,2,13.7,1,1
CUST-1051,2023-10-30,Startup (Monthly),5000,1,70.2,7,1
CUST-1052,2023-05-01,Startup (Monthly),5000,1,50.7,4,1
CUST-1053,2024-10-04,Startup (Monthly),5000,1,65.2,15,0
CUST-1054,2024-01-24,Startup (Monthly),5000,3,42.7,4,1
CUST-1055,2025-09-18,Enterprise (Annual),25000,1,68.2,3,0
CUST-1056,2025-12-11,Startup (Monthly),5000,4,47.0,1,0
CUST-1057,2025-06-15,Startup (Monthly),5000,0,49.8,6,0
CUST-1058,2023-11-11,Startup (Monthly),5000,2,59.5,6,1
CUST-1059,2024-09-26,Startup (Monthly),5000,1,100.0,1,1
CUST-1060,2024-04-04,Startup (Monthly),5000,2,48.5,12,1
CUST-1061,2024-05-23,Startup (Monthly),5000,2,47.2,6,1
CUST-1062,2025-03-14,Startup (Monthly),5000,2,88.0,9,1
CUST-1063,2025-06-06,Enterprise (Annual),25000,3,53.6,6,0
CUST-1064,2025-03-26,Startup (Monthly),5000,2,77.5,9,0
CUST-1065,2023-07-07,Startup (Monthly),5000,2,63.6,1,1
CUST-1066,2024-12-27,Startup (Monthly),5000,1,48.0,6,1
CUST-1067,2024-04-18,Enterprise (Annual),25000,1,68.9,20,0
CUST-1068,2023-02-08,Enterprise (Annual),25000,5,51.0,15,1
CUST-1069,2025-09-04,Startup (Monthly),5000,2,34.3,3,0
CUST-1070,2024-06-22,Enterprise (Annual),25000,1,74.4,11,1
CUST-1071,2024-11-10,Enterprise (Annual),25000,2,43.6,13,0
CUST-1072,2025-10-02,Startup (Monthly),5000,1,67.9,1,1
CUST-1073,2023-06-10,Startup (Monthly),5000,2,32.1,26,1
CUST-1074,2024-01-14,Startup (Monthly),5000,0,97.0,15,1
CUST-1075,2023-12-23,Startup (Monthly),5000,2,42.8,1,1
CUST-1076,2024-02-23,Enterprise (Annual),25000,4,75.2,22,0
CUST-1077,2023-07-12,Enterprise (Annual),25000,3,93.8,25,1
CUST-1078,2023-05-26,Enterprise (Annual),25000,2,100.0,31,0
CUST-1079,2024-12-28,Startup (Monthly),5000,3,42.4,1,1
CUST-1080,2024-11-12,Startup (Monthly),5000,1,90.4,13,0
CUST-1081,2024-02-06,Startup (Monthly),5000,1,62.7,16,1
CUST-1082,2023-01-19,Enterprise (Annual),25000,1,50.5,35,0
CUST-1083,2025-10-08,Startup (Monthly),5000,3,63.9,2,0
CUST-1084,2024-03-21,Enterprise (Annual),25000,1,67.9,7,1
CUST-1085,2024-08-25,Startup (Monthly),5000,1,13.3,13,1
CUST-1086,2023-07-05,Startup (Monthly),5000,1,55.5,8,1
CUST-1087,2023-02-12,Startup (Monthly),5000,1,61.0,10,1
CUST-1088,2023-05-05,Startup (Monthly),5000,2,34.4,29,1
CUST-1089,2024-10-08,Enterprise (Annual),25000,2,71.3,7,1
